,Product,Catagory
0,wall putty ,Combined
1,wall putty ,Combined
2,wall putty ,Combined
3,Oil primer (20 L),Furniture
4,Oil primer (20 L),Furniture
5,Oil primer (20 L),Furniture
6,Rose Red Oil Paint,Exterior
7,Rose Red Oil Paint,Exterior
8,Rose Red Oil Paint,Exterior
9,Sapphire Blue Oil Paint,Exterior
10,Sapphire Blue Oil Paint,Exterior
11,Sapphire Blue Oil Paint,Exterior
12,Cream Oil Paint,Exterior
13,Cream Oil Paint,Exterior
14,Cream Oil Paint,Exterior
15,White Oil Paint,Exterior
16,White Oil Paint,Exterior
17,White Oil Paint,Exterior
18,Pear Green Oil Paint,Exterior
19,Pear Green Oil Paint,Exterior
20,Pear Green Oil Paint,Exterior
21,Coral Pink Oil Paint,Exterior
22,Coral Pink Oil Paint,Exterior
23,Coral Pink Oil Paint,Exterior
24,Retro Blue Oil Paint,Interior
25,Retro Blue Oil Paint,Interior
26,Retro Blue Oil Paint,Interior
27,Pine Cone ( Brown ) Oil Paint,Interior
28,Pine Cone ( Brown ) Oil Paint,Interior
29,Pine Cone ( Brown ) Oil Paint,Interior
30,Yellow Tulip Oil Paint ,Interior
31,Yellow Tulip Oil Paint ,Interior
32,Yellow Tulip Oil Paint ,Interior
33,Interior Dazzle (10L),Interior
34,Interior Dazzle (10L),Interior
35,Interior Dazzle (10L),Interior
36,Anti Dust Weather Coat,Exterior
37,Anti Dust Weather Coat,Exterior
38,Anti Dust Weather Coat,Exterior
39,interior Primer(20 L),Interior
40,interior Primer(20 L),Interior
41,interior Primer(20 L),Interior
42,Byson Emulsion Glow,Interior
43,Byson Emulsion Glow,Interior
44,Byson Emulsion Glow,Interior
45,Outdoor Primer ,Exterior
46,Outdoor Primer ,Exterior
47,Outdoor Primer ,Exterior
48,wood Primer(500 ml),Furniture
49,wood Primer(500 ml),Furniture
50,wood Primer(500 ml),Furniture
51,Metal Primer ,Furniture
52,Metal Primer ,Furniture
53,Metal Primer ,Furniture
54,Pista Green Oil Paint,Exterior
55,Pista Green Oil Paint,Exterior
56,Pista Green Oil Paint,Exterior
57,Orange Frost Oil Paint,Exterior
58,Orange Frost Oil Paint,Exterior
59,Orange Frost Oil Paint,Exterior
60,Day Lily Oil Paint,Exterior
61,Day Lily Oil Paint,Exterior
62,Day Lily Oil Paint,Exterior
63,Lilac Frost Oil Paint,Exterior
64,Lilac Frost Oil Paint,Exterior
65,Lilac Frost Oil Paint,Exterior
66,Violet Oil Paint,Exterior
67,Violet Oil Paint,Exterior
68,Violet Oil Paint,Exterior
69,Spring Banquet Oil Paint,Exterior
70,Spring Banquet Oil Paint,Exterior
71,Spring Banquet Oil Paint,Exterior
72,Muave Oil Paint,Exterior
73,Muave Oil Paint,Exterior
74,Muave Oil Paint,Exterior
75,Young green Oil Paint,Exterior
76,Young green Oil Paint,Exterior
77,Young green Oil Paint,Exterior
78,Rose Oil Paint,Exterior
79,Rose Oil Paint,Exterior
80,Rose Oil Paint,Exterior
81,Prussian Blue Oil Paint,Exterior
82,Prussian Blue Oil Paint,Exterior
83,Prussian Blue Oil Paint,Exterior
84,Grape Green Oil Paint,Exterior
85,Grape Green Oil Paint,Exterior
86,Grape Green Oil Paint,Exterior
87,Red fort Oil Paint,Exterior
88,Red fort Oil Paint,Exterior
89,Red fort Oil Paint,Exterior
90,Autumn Brown Oil Paint,Exterior
91,Autumn Brown Oil Paint,Exterior
92,Autumn Brown Oil Paint,Exterior
93,Sienna Oil Paint,Exterior
94,Sienna Oil Paint,Exterior
95,Sienna Oil Paint,Exterior
96,Polished Blue Oil Paint,Exterior
97,Polished Blue Oil Paint,Exterior
98,Polished Blue Oil Paint,Exterior
